Start,Loc,Duration,dtime,Status,Calendar
2015-01-23 14:00:00,MEDITATION,2.0,DAY,,HUB Oakland Events
2015-01-23 19:00:00,BROADWAY,3.0,EVENING,,HUB Oakland Events
2015-01-24 09:00:00,MERIDIAN,8.0,DAY,,Conference Room
2015-01-25 00:00:00,,24.0,DAY,,HUB Oakland Events
2015-01-25 09:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-01-26 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-26 12:30:00,MERIDIAN,5.0,DAY,,Conference Room
2015-01-26 15:00:00,MEDITATION,0.5,DAY,,HUB Oakland Events
2015-01-26 17:30:00,GALLERY,4.0,EVENING,,Conference Room
2015-01-26 18:00:00,EAST_OAK,2.0,EVENING,,Conference Room
2015-01-26 18:30:00,MERIDIAN,1.0,EVENING,,Conference Room
2015-01-27 10:00:00,EAST_OAK,1.5,DAY,,Conference Room
2015-01-27 13:00:00,EAST_OAK,5.5,DAY,,Conference Room
2015-01-27 14:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-27 14:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-01-27 14:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-27 14:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-01-27 16:00:00,GALLERY,2.5,DAY,,Conference Room
2015-01-27 16:30:00,UPTOWN,3.0,DAY,HOLD,Conference Room
2015-01-27 17:30:00,MERIDIAN,4.0,EVENING,,Conference Room
2015-01-27 18:00:00,EAST_OAK,2.0,EVENING,HOLD,Conference Room
2015-01-27 19:00:00,GALLERY,2.0,EVENING,,Conference Room
2015-01-27 19:00:00,JINGLETOWN,2.0,EVENING,,Conference Room
2015-01-27 19:00:00,GALLERY,2.0,EVENING,,HUB Oakland Events
2015-01-27 19:00:00,JINGLETOWN,2.0,EVENING,,HUB Oakland Events
2015-01-28 09:30:00,UPTOWN,3.5,DAY,,Conference Room
2015-01-28 12:30:00,,1.0,DAY,,HUB Oakland Events
2015-01-28 13:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-28 15:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-28 17:30:00,GALLERY,1.75,EVENING,,Conference Room
2015-01-29 09:00:00,EAST_OAK,8.0,DAY,,Conference Room
2015-01-29 10:00:00,UPTOWN,6.0,DAY,,Conference Room
2015-01-29 10:00:00,MERIDIAN,6.0,DAY,,Conference Room
2015-01-29 10:00:00,UPTOWN,10.0,DAY,,Conference Room
2015-01-29 10:00:00,MERIDIAN,10.0,DAY,,Conference Room
2015-01-29 11:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-29 13:30:00,GALLERY,1.5,DAY,,Conference Room
2015-01-29 17:30:00,GALLERY,5.5,EVENING,,Conference Room
2015-01-29 17:30:00,ATRIUM,5.5,EVENING,,Conference Room
2015-01-29 18:30:00,GALLERY,3.5,EVENING,,HUB Oakland Events
2015-01-29 18:30:00,ATRIUM,3.5,EVENING,,HUB Oakland Events
2015-01-30 09:30:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-30 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-01-30 11:30:00,EAST_OAK,2.5,DAY,,Conference Room
2015-01-30 11:45:00,UPTOWN,3.25,DAY,,Conference Room
2015-01-30 12:00:00,GALLERY,3.0,DAY,,Conference Room
2015-01-30 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-01-30 15:15:00,,1.5,DAY,,Conference Room
2015-01-31 09:00:00,BROADWAY,3.0,DAY,,HUB Oakland Events
2015-01-31 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-01-31 17:00:00,BROADWAY,5.0,DAY,,HUB Oakland Events
2015-02-01 09:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-02-01 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-02-02 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-02 11:00:00,MERIDIAN,2.0,DAY,,HUB Oakland Events
2015-02-02 11:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-02-02 11:30:00,EAST_OAK,1.0,DAY,,Conference Room
2015-02-02 12:30:00,UPTOWN,5.5,DAY,,Conference Room
2015-02-02 15:00:00,MEDITATION,0.5,DAY,,HUB Oakland Events
2015-02-02 17:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-02-02 17:30:00,GALLERY,4.0,EVENING,,Conference Room
2015-02-03 10:00:00,UPTOWN,3.0,DAY,,Conference Room
2015-02-03 12:00:00,DOWNTOWN,3.0,DAY,,Conference Room
2015-02-03 15:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-02-03 17:30:00,MERIDIAN,4.0,EVENING,,Conference Room
2015-02-03 17:30:00,DOWNTOWN,4.0,EVENING,,Conference Room
2015-02-03 17:30:00,MERIDIAN,1.0,EVENING,,Conference Room
2015-02-03 17:30:00,DOWNTOWN,1.0,EVENING,,Conference Room
2015-02-04 10:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-02-04 11:00:00,DOWNTOWN,2.0,DAY,,Conference Room
2015-02-04 14:15:00,EAST_OAK,1.5,DAY,,Conference Room
2015-02-04 17:30:00,DOWNTOWN,1.0,EVENING,,Conference Room
2015-02-04 17:30:00,GALLERY,1.0,EVENING,,Conference Room
2015-02-04 17:30:00,DOWNTOWN,1.75,EVENING,,Conference Room
2015-02-04 17:30:00,GALLERY,1.75,EVENING,,Conference Room
2015-02-05 09:30:00,UPTOWN,1.5,DAY,,Conference Room
2015-02-05 10:00:00,MERIDIAN,10.0,DAY,,Conference Room
2015-02-05 14:00:00,EAST_OAK,0.75,DAY,,Conference Room
2015-02-05 14:00:00,MERIDIAN,0.75,DAY,,Conference Room
2015-02-05 14:00:00,EAST_OAK,2.0,DAY,,Conference Room
2015-02-05 14:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-02-05 15:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-05 15:00:00,GALLERY,2.0,DAY,,Conference Room
2015-02-05 15:00:00,UPTOWN,3.0,DAY,,Conference Room
2015-02-05 15:00:00,GALLERY,3.0,DAY,,Conference Room
2015-02-05 17:00:00,MERIDIAN,3.0,DAY,,HUB Oakland Events
2015-02-05 17:00:00,MERIDIAN,4.0,DAY,,HUB Oakland Events
2015-02-05 17:30:00,BROADWAY,4.0,EVENING,,HUB Oakland Events
2015-02-06 09:30:00,EAST_OAK,1.0,DAY,,Conference Room
2015-02-06 09:30:00,MERIDIAN,1.0,DAY,,Conference Room
2015-02-06 09:30:00,EAST_OAK,1.5,DAY,,Conference Room
2015-02-06 09:30:00,MERIDIAN,1.5,DAY,,Conference Room
2015-02-06 10:00:00,UPTOWN,6.0,DAY,,Conference Room
2015-02-06 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-02-06 15:00:00,EAST_OAK,1.0,DAY,,Conference Room
2015-02-06 16:00:00,ATRIUM,1.0,DAY,CLOSED,HUB Oakland Events
2015-02-06 17:30:00,ATRIUM,3.5,EVENING,,HUB Oakland Events
2015-02-06 18:00:00,GALLERY,4.0,EVENING,,HUB Oakland Events
2015-02-07 13:00:00,EAST_OAK,2.0,DAY,,Conference Room
2015-02-08 09:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-02-09 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-09 10:00:00,DOWNTOWN,2.0,DAY,,Conference Room
2015-02-09 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-09 10:00:00,DOWNTOWN,2.0,DAY,,Conference Room
2015-02-09 11:15:00,GALLERY,2.0,DAY,,Conference Room
2015-02-09 12:00:00,GALLERY,2.0,DAY,,Conference Room
2015-02-09 13:30:00,EAST_OAK,2.0,DAY,,Conference Room
2015-02-09 14:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-02-09 15:00:00,MEDITATION,0.5,DAY,,HUB Oakland Events
2015-02-09 17:30:00,MERIDIAN,4.0,EVENING,,Conference Room
2015-02-09 18:00:00,UPTOWN,2.0,EVENING,,Conference Room
2015-02-09 18:30:00,GALLERY,2.0,EVENING,,Conference Room
2015-02-09 19:00:00,EAST_OAK,3.0,EVENING,,Conference Room
2015-02-10 09:00:00,UPTOWN,3.0,DAY,,Conference Room
2015-02-10 10:00:00,EAST_OAK,4.0,DAY,,Conference Room
2015-02-10 17:00:00,GALLERY,2.5,DAY,,Conference Room
2015-02-10 17:30:00,MERIDIAN,4.0,EVENING,,Conference Room
2015-02-10 17:30:00,BROADWAY,4.0,EVENING,,Conference Room
2015-02-10 17:30:00,MERIDIAN,4.0,EVENING,,HUB Oakland Events
2015-02-10 17:30:00,BROADWAY,4.0,EVENING,,HUB Oakland Events
2015-02-10 18:30:00,UPTOWN,2.0,EVENING,,Conference Room
2015-02-11 08:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-11 09:30:00,GALLERY,2.5,DAY,,Conference Room
2015-02-11 10:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-02-11 10:00:00,MERIDIAN,1.0,DAY,,Conference Room
2015-02-11 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-02-11 10:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-02-11 12:30:00,EAST_OAK,1.5,DAY,,Conference Room
2015-02-11 12:30:00,GALLERY,1.5,DAY,,Conference Room
2015-02-11 12:30:00,EAST_OAK,1.5,DAY,,Conference Room
2015-02-11 12:30:00,GALLERY,1.5,DAY,,Conference Room
2015-02-11 14:15:00,EAST_OAK,1.5,DAY,,Conference Room
2015-02-11 14:30:00,MERIDIAN,1.0,DAY,,Conference Room
2015-02-11 15:00:00,GALLERY,1.0,DAY,,Conference Room
2015-02-11 17:00:00,GALLERY,1.0,DAY,CLOSED,HUB Oakland Events
2015-02-11 17:30:00,DOWNTOWN,1.75,EVENING,,Conference Room
2015-02-11 18:00:00,UPTOWN,4.0,EVENING,,Conference Room
2015-02-12 07:30:00,GALLERY,1.0,DAY,CLOSED,HUB Oakland Events
2015-02-12 08:30:00,GALLERY,2.0,DAY,,HUB Oakland Events
2015-02-12 09:00:00,DOWNTOWN,9.0,DAY,,Conference Room
2015-02-12 09:30:00,UPTOWN,1.5,DAY,,Conference Room
2015-02-12 10:30:00,GALLERY,1.5,DAY,,Conference Room
2015-02-12 12:00:00,MERIDIAN,1.0,DAY,,Conference Room
2015-02-12 12:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-02-12 12:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-02-12 12:00:00,UPTOWN,3.0,DAY,,Conference Room
2015-02-12 13:00:00,GALLERY,1.0,DAY,,Conference Room
2015-02-12 17:00:00,BROADWAY,1.5,DAY,CLOSED,HUB Oakland Events
2015-02-12 17:30:00,GALLERY,1.0,EVENING,CLOSED,HUB Oakland Events
2015-02-12 18:00:00,BROADWAY,2.0,EVENING,,HUB Oakland Events
2015-02-12 18:15:00,MERIDIAN,2.5,EVENING,,Conference Room
2015-02-12 18:30:00,GALLERY,2.0,EVENING,,HUB Oakland Events
2015-02-12 20:00:00,BROADWAY,1.0,EVENING,,HUB Oakland Events
2015-02-12 20:30:00,GALLERY,0.5,EVENING,,HUB Oakland Events
2015-02-13 08:30:00,MERIDIAN,10.0,DAY,,Conference Room
2015-02-13 09:00:00,EAST_OAK,3.0,DAY,,Conference Room
2015-02-13 11:00:00,GALLERY,4.0,DAY,,Conference Room
2015-02-13 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-02-13 13:00:00,EAST_OAK,2.0,DAY,,Conference Room
2015-02-13 15:30:00,UPTOWN,1.5,DAY,,Conference Room
2015-02-13 17:00:00,BROADWAY,1.5,DAY,CLOSED,HUB Oakland Events
2015-02-13 17:00:00,MEDITATION,1.5,DAY,CLOSED,HUB Oakland Events
2015-02-13 18:00:00,BROADWAY,4.0,EVENING,,HUB Oakland Events
2015-02-13 18:00:00,GALLERY,4.0,EVENING,,HUB Oakland Events
2015-02-13 18:00:00,MERIDIAN,4.0,EVENING,,HUB Oakland Events
2015-02-13 18:00:00,GALLERY,4.0,EVENING,,HUB Oakland Events
2015-02-13 18:00:00,BROADWAY,3.0,EVENING,,Conference Room
2015-02-13 18:00:00,GALLERY,3.0,EVENING,,Conference Room
2015-02-13 18:00:00,MERIDIAN,3.0,EVENING,,Conference Room
2015-02-13 18:00:00,GALLERY,3.0,EVENING,,Conference Room
2015-02-13 18:00:00,BROADWAY,1.0,EVENING,,Conference Room
2015-02-13 18:00:00,GALLERY,1.0,EVENING,,Conference Room
2015-02-13 18:00:00,MERIDIAN,1.0,EVENING,,Conference Room
2015-02-13 18:00:00,GALLERY,1.0,EVENING,,Conference Room
2015-02-13 22:00:00,BROADWAY,1.5,EVENING,,HUB Oakland Events
2015-02-14 16:30:00,BROADWAY,1.5,DAY,CLOSED,HUB Oakland Events
2015-02-14 16:30:00,MEDITATION,1.5,DAY,CLOSED,HUB Oakland Events
2015-02-14 18:00:00,BROADWAY,3.0,EVENING,,HUB Oakland Events
2015-02-14 21:00:00,BROADWAY,1.0,EVENING,,HUB Oakland Events
2015-02-15 09:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-02-16 09:00:00,EAST_OAK,4.5,DAY,,Conference Room
2015-02-16 10:00:00,UPTOWN,2.0,DAY,,Conference Room
